Certification,View,Comment_num,Date,Name,Fans,Video_Index,Comment_Text,Censor_Score,Topic,Certification_Type
5,847000,2901,"(2025, 3, 17)",央视网快看,1931375,166,没有选择太搞了，当初打过来是谁不抵抗就投降了，还记得相关视频一堆神秘生物搁那刷“人民的选择”,6,Xinjiang Counter-terrorism,Media
5,4459000,34000,"(2019, 12, 18)",观察者网,7368392,44,封狼居胥,7,Xinjiang Counter-terrorism,Media
4,2518000,24000,"(2021, 2, 19)",共青团中央,11416568,99,我哭了,7,Xinjiang Counter-terrorism,Government
5,847000,2901,"(2025, 3, 17)",央视网快看,1931375,166,美国,1,Xinjiang Counter-terrorism,Media
0,773000,507,"(2024, 7, 8)",哔哩大学人文学院,982751,23,卢梭爱弥儿,9,Xinjiang Counter-terrorism,None
0,559000,51,"(2025, 1, 5)",豹二A9v,243,35,执法有温度（机械能转内能（确信）,10,Xinjiang Counter-terrorism,None
0,390000,636,"(2023, 8, 26)",05式自行榴弹炮,4372,21,向英雄致敬！,1,Xinjiang Counter-terrorism,None
1,1195000,3050,"(2024, 1, 14)",地理科普局,262359,109,我觉得可以,9,Xinjiang Counter-terrorism,Famous Content Creator
4,1539000,40000,"(2019, 3, 20)",共青团中央,11416573,4,有病,5,Xinjiang Counter-terrorism,Government
4,1548000,9646,"(2021, 1, 25)",共青团中央,11416566,146,卧槽，环卫工人，有事业编制的,7,Xinjiang Counter-terrorism,Government
1,452000,2579,"(2021, 5, 7)",杨叔洞察,846901,22,基本没有我们汉人什么事,6,Xinjiang Counter-terrorism,Famous Content Creator
4,637000,5722,"(2018, 9, 15)",共青团中央,11416570,41,狙击手点名,7,Xinjiang Counter-terrorism,Government
2,427000,935,"(2021, 4, 18)",卢克文工作室,4368358,72,其实并没有多大联系,5,Xinjiang Counter-terrorism,Influencer
1,2128000,5002,"(2024, 6, 28)",世界见闻录,1474622,133,花儿为什么这样红,7,Xinjiang Counter-terrorism,Famous Content Creator
0,230000,1450,"(2024, 8, 20)",长河飞烟,115046,106,高速服务区,3,Xinjiang Counter-terrorism,None
0,641000,7653,"(2021, 8, 15)",游小源儿,11806,180,好帅,8,Xinjiang Counter-terrorism,None
0,449000,1907,"(2025, 3, 2)",账号已注销,3658,154,啊这啊这啊这，运气这么好,8,Xinjiang Counter-terrorism,None
1,1873000,7597,"(2024, 4, 6)",毒舌的南瓜,2299729,48,卡大佐直呼内行！！！,10,Xinjiang Counter-terrorism,Famous Content Creator
1,1195000,3050,"(2024, 1, 14)",地理科普局,262359,109,左公千古,6,Xinjiang Counter-terrorism,Famous Content Creator
1,1873000,7597,"(2024, 4, 6)",毒舌的南瓜,2299729,48,龙场悟道,5,Xinjiang Counter-terrorism,Famous Content Creator
0,230000,1450,"(2024, 8, 20)",长河飞烟,115046,106,就像西欧要敢不服从反叛美国，美国马上经济收割,6,Xinjiang Counter-terrorism,None
1,452000,2579,"(2021, 5, 7)",杨叔洞察,846901,22,林则徐还有这份贡献,4,Xinjiang Counter-terrorism,Famous Content Creator
1,5550000,32000,"(2024, 5, 13)",花岗岩工作室,1654458,167,坏了，这个爷爷在电视上给我看过,6,Xinjiang Counter-terrorism,Famous Content Creator
0,245000,2185,"(2024, 2, 5)",小毛驴_探案,56117,171,我曹坐上后悔椅还在狂的很少见呀,8,Xinjiang Counter-terrorism,None
1,5550000,32000,"(2024, 5, 13)",花岗岩工作室,1654458,167,Gouranga！是Ninja·Slayer世界的手枪·空手道,10,Xinjiang Counter-terrorism,Famous Content Creator
0,120000,995,"(2025, 3, 6)",笑声笑,10508,49,“交通”,9,Xinjiang Counter-terrorism,None
1,452000,2579,"(2021, 5, 7)",杨叔洞察,846901,22,大明不是有个哈密卫么？,4,Xinjiang Counter-terrorism,Famous Content Creator
1,452000,2579,"(2021, 5, 7)",杨叔洞察,846901,22,当然是先过寿了，这还用问吗？,7,Xinjiang Counter-terrorism,Famous Content Creator
1,1873000,7597,"(2024, 4, 6)",毒舌的南瓜,2299729,48,没毛病,9,Xinjiang Counter-terrorism,Famous Content Creator
1,4664000,22000,"(2020, 7, 21)",秋田早上好,419089,129,德国科学家都去了美国,9,Xinjiang Counter-terrorism,Famous Content Creator
5,4459000,34000,"(2019, 12, 18)",观察者网,7368392,44,.,5,Xinjiang Counter-terrorism,Media
4,1548000,9646,"(2021, 1, 25)",共青团中央,11416566,146,200一天？我草了,10,Xinjiang Counter-terrorism,Government
4,637000,5722,"(2018, 9, 15)",共青团中央,11416570,41,强总,7,Xinjiang Counter-terrorism,Government
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,她还在犹豫，哎,10,Xinjiang Counter-terrorism,Government
0,245000,2185,"(2024, 2, 5)",小毛驴_探案,56117,171,你别说，还挺好看,9,Xinjiang Counter-terrorism,None
0,592000,772,"(2023, 2, 22)",矜暮闲聊,7494,116,没错没错,5,Xinjiang Counter-terrorism,None
4,1539000,40000,"(2019, 3, 20)",共青团中央,11416573,4,简直不是人,7,Xinjiang Counter-terrorism,Government
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,根本不值得同情！,5,Xinjiang Counter-terrorism,Government
0,449000,1907,"(2025, 3, 2)",账号已注销,3658,154,玛尔扎哈,6,Xinjiang Counter-terrorism,None
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,小姐姐在查英语吧,6,Xinjiang Counter-terrorism,None
2,659000,1658,"(2024, 4, 19)",乌鸦校尉CaptainWuya,2926525,65,唯一活下来的,3,Xinjiang Counter-terrorism,Influencer
0,746000,3964,"(2020, 10, 6)",大红矛,8458,70,致敬,5,Xinjiang Counter-terrorism,None
4,1539000,40000,"(2019, 3, 20)",共青团中央,11416573,4,广西脏话,7,Xinjiang Counter-terrorism,Government
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,铲的已经是冰了，撬不动的,5,Xinjiang Counter-terrorism,None
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,我们一起加油,8,Xinjiang Counter-terrorism,Government
5,4459000,34000,"(2019, 12, 18)",观察者网,7368392,44,左宗棠！,10,Xinjiang Counter-terrorism,Media
1,1195000,3050,"(2024, 1, 14)",地理科普局,262359,109,有一说一，伊犁是真的美,9,Xinjiang Counter-terrorism,Famous Content Creator
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,20应该有点贵。这哥们儿的眼色也不像是正常价。,10,Xinjiang Counter-terrorism,None
0,641000,7653,"(2021, 8, 15)",游小源儿,11806,180,怎么感觉跟美国人问外国人问题似的，好蠢啊哈哈哈哈哈哈哈,7,Xinjiang Counter-terrorism,None
1,4633000,13000,"(2024, 11, 16)",我是江无情,1980923,53,新疆人？,8,Xinjiang Counter-terrorism,Famous Content Creator
0,403000,141,"(2024, 8, 30)",05式自行榴弹炮,4372,36,卧槽,1,Xinjiang Counter-terrorism,None
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,热带地区大把流浪的大神,6,Xinjiang Counter-terrorism,None
1,615000,11000,"(2022, 3, 4)",峰哥亡命天涯,2213971,169,哈哈哈,7,Xinjiang Counter-terrorism,Famous Content Creator
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,不都吹价格实惠吗。这和内地也没差别啊,8,Xinjiang Counter-terrorism,None
1,615000,11000,"(2022, 3, 4)",峰哥亡命天涯,2213971,169,扯蛋，迪丽热巴都快60了还那么苗条,7,Xinjiang Counter-terrorism,Famous Content Creator
4,1548000,9646,"(2021, 1, 25)",共青团中央,11416566,146,哈哈哈哈哈哈哈哈哈哈哈哈 外媒狠狠打面,5,Xinjiang Counter-terrorism,Government
2,659000,1658,"(2024, 4, 19)",乌鸦校尉CaptainWuya,2926525,65,生化危机BGM,3,Xinjiang Counter-terrorism,Influencer
4,637000,5722,"(2018, 9, 15)",共青团中央,11416570,41,噢噢噢帅帅帅帅帅帅帅帅帅！,5,Xinjiang Counter-terrorism,Government
0,230000,1450,"(2024, 8, 20)",长河飞烟,115046,106,故土新归,5,Xinjiang Counter-terrorism,None
4,1539000,40000,"(2019, 3, 20)",共青团中央,11416573,4,分裂中国绝不可能！,6,Xinjiang Counter-terrorism,Government
1,2128000,5002,"(2024, 6, 28)",世界见闻录,1474622,133,哇！,5,Xinjiang Counter-terrorism,Famous Content Creator
5,4459000,34000,"(2019, 12, 18)",观察者网,7368392,44,我们总要拿回来的！,5,Xinjiang Counter-terrorism,Media
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,他们真的毫无人性 无论男女老少都砍,8,Xinjiang Counter-terrorism,Government
1,615000,11000,"(2022, 3, 4)",峰哥亡命天涯,2213971,169,阿孜古丽？,7,Xinjiang Counter-terrorism,Famous Content Creator
1,2128000,5002,"(2024, 6, 28)",世界见闻录,1474622,133,军户变佃农,10,Xinjiang Counter-terrorism,Famous Content Creator
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,境外势力培养的,5,Xinjiang Counter-terrorism,Government
